Names,AbsoluteError_1item_4secs,AbsoluteError_3items_4secs,Misbinding_Simple_1item_4secs,Misbinding_Simple_3items_4secs,Guessing_Simple_1item_4secs,Guessing_Simple_3items_4secs,Target_Simple_1item_4secs,Target_Simple_3items_4secs,IdentificationTime_1item_4secs,IdentificationTime_3items_4secs,LocalisationTime_1item_4secs,LocalisationTime_3items_4secs,ProportionCorrect_1item_4secs,ProportionCorrect_3items_4secs,Imprecision_Simple_1item_4secs,Imprecision_Simple_3items_4secs,
Short_Fractals1&3_Harmer_test010518_2018-05-01T20-06-52-245Z.mat,50.00914046,124.9272286,0,0.16387,0.117568421,0.22005,0.882431579,0.61608,1.908578947,2.2576,3.711210526,4.29695,0.95,1,50.00914046,79.63835466,01/05/2018
Short_Fractals1&3_Harmer_crftest_2018-05-30T13-48-25-035Z.mat,56.14740137,53.15966172,0,0.08612,0.05169,0.03723,0.94831,0.87665,1.32355,1.70235,2.8053,3.45995,1,1,56.14740137,49.7268884,30/05/2018
Short_Fractals1&3_Harmer_Murphy_101_2018-07-03T12-00-00-234Z.mat,37.1229225,214.4014923,0,0.330077778,0.079578947,0.230877778,0.920421053,0.439044444,1.297526316,4.173166667,3.355421053,6.651166667,0.95,0.9,37.1229225,71.63197125,03/07/2018
Short_Fractals1&3_Harmer_Murphy_201_2018-07-06T13-23-24-424Z.mat,22.69716657,99.23439777,0,0.09772,0.02276,0.06952,0.97724,0.83276,0.8439,2.079,3.12255,5.2676,1,1,22.69716657,55.43803827,06/07/2018
Short_Fractals1&3_Harmer_Murphy_102_2_2018-07-10T12-01-17-897Z.mat,60.57275134,167.0244012,0,0.259882353,0.105777778,0.107188235,0.894222222,0.632929412,0.720166667,1.492294118,1.444611111,2.606588235,0.9,0.85,60.57275134,59.12989266,10/07/2018
Short_Fractals1&3_Harmer_Murphy_103_2018-07-21T09-44-59-091Z.mat,40.60514803,188.5324722,0,0.275368421,0.106410526,0.132105263,0.893589474,0.592526316,1.127368421,2.863578947,2.570157895,4.776157895,0.95,0.95,40.60514803,51.71764283,21/07/2018
Short_Fractals1&3_Harmer_Murphy_104_2018-07-27T10-40-58-911Z.mat,49.05046432,145.4092442,0,0.199988235,0.1689,0.183435294,0.8311,0.616576471,1.28785,2.885470588,2.69045,4.699058824,1,0.85,49.05046432,67.21172025,27/07/2018
Short_Fractals1&3_Harmer_Murphy_204_2018-07-31T17-09-16-365Z.mat,59.03591296,148.8949497,0,0.259814286,0.1516,0.1811,0.8484,0.559085714,1.6668,2.554642857,2.82715,3.795857143,1,0.7,59.03591296,68.89145079,31/07/2018
Short_Fractals1&3_Harmer_Murphy_105_2018-08-03T15-24-25-994Z.mat,34.8440999,120.0239724,0,0.100431579,0.06849,0.095536842,0.93151,0.804031579,0.88145,2.519894737,2.22045,5.243578947,1,0.95,34.8440999,49.91270259,03/08/2018
Short_Fractals1&3_Harmer_Murphy_106_2018-08-07T13-11-32-262Z.mat,36.83576019,76.13836881,0,0.04772,0.01349,0.03854,0.98651,0.91374,1.21465,2.53085,4.1124,5.78245,1,1,36.83576019,49.67554227,07/08/2018
Short_Fractals1&3_Harmer_Murphy_206_2018-08-08T10-05-03-117Z.mat,40.69226702,52.5289662,0,0.080905263,0.04788,0.055463158,0.95212,0.863631579,1.2103,2.670789474,3.7079,5.848578947,1,0.95,40.69226702,46.14169735,08/08/2018
