Names,AbsoluteError_1item_4secs,AbsoluteError_3items_4secs,Misbinding_Simple_1item_4secs,Misbinding_Simple_3items_4secs,Guessing_Simple_1item_4secs,Guessing_Simple_3items_4secs,Target_Simple_1item_4secs,Target_Simple_3items_4secs,IdentificationTime_1item_4secs,IdentificationTime_3items_4secs,LocalisationTime_1item_4secs,LocalisationTime_3items_4secs,ProportionCorrect_1item_4secs,ProportionCorrect_3items_4secs,Imprecision_Simple_1item_4secs,Imprecision_Simple_3items_4secs
Short_Fractals1&3_Harmer_fencog-p0013v2_2021-10-14T11-06-50-692Z.mat,45.14537313,138.7026448,0,0.258494737,0.064147368,0.189610526,0.935852632,0.551894737,1.163052632,1.823736842,3.009,3.628210526,0.95,0.95,45.14537313,86.24147861
Short_Fractals1&3_Harmer_fencog-p010v2_2021-09-13T11-50-40-722Z.mat,55.52564243,86.6147712,0,0.050522222,0.14782,0.130255556,0.85218,0.819222222,1.18785,1.718722222,2.75335,3.456333333,1,0.9,55.52564243,57.09193666
Short_Fractals1&3_Harmer_fencog-p10v1_2021-09-06T11-24-47-098Z.mat,29.35243659,88.97689943,0,0.05,0.05,0.07306,0.95,0.87694,0.90775,1.89785,2.6274,3.7168,1,1,29.35243659,57.44919796
Short_Fractals1&3_Harmer_fencog_p11_v1_2021-09-07T11-25-22-090Z.mat,32.09798665,124.690792,0,0.133757895,0.040252632,0.122494737,0.959747368,0.743747368,1.639947368,1.898263158,3.496368421,4.012947368,0.95,0.95,32.09798665,60.15967469
Short_Fractals1&3_Harmer_fencog_p18_1_2021-10-29T11-58-57-790Z.mat,25.77106726,142.0538702,0,0.22044,0.06673,0.11206,0.93327,0.6675,0.8228,2.11365,2.0146,3.7579,1,1,25.77106726,45.46650123
Short_Fractals1&3_Harmer_fencogp0015v1_2021-10-20T11-10-01-636Z.mat,43.1466352,85.80083112,0,0.102926316,0.0716,0.062926316,0.9284,0.834147368,1.10345,1.853315789,2.91295,4.326263158,1,0.95,43.1466352,34.73212119
Short_Fractals1&3_Harmer_fencogp001_2021-06-22T11-55-54-045Z.mat,39.07766705,58.15887575,0,0.08848,0.02491,0.03007,0.97509,0.88145,1.0423,1.9377,2.67235,3.97405,1,1,39.07766705,44.95855848
Short_Fractals1&3_Harmer_fencogp001v2_2021-06-29T11-45-11-147Z.mat,31.1035227,45.71212908,0,0.05,0.026884211,0.02261,0.973115789,0.92739,0.698684211,1.84615,2.153684211,3.5208,0.95,1,31.1035227,34.45860747
Short_Fractals1&3_Harmer_fencogp002_2021-06-28T10-51-00-523Z.mat,44.9258783,215.1287744,0,0.303344444,0.14763,0.225777778,0.85237,0.470877778,1.1881,2.053722222,2.6766,3.605833333,1,0.9,44.9258783,61.02066719
Short_Fractals1&3_Harmer_fencogp002v2second_2021-07-06T11-36-47-811Z.mat,61.48785801,73.81192418,0,0.109635294,0.09074,0.122670588,0.90926,0.767694118,1.0865,1.793117647,2.3703,3.129352941,1,0.85,61.48785801,67.25141076
Short_Fractals1&3_Harmer_fencogp003_2021-07-05T11-06-12-388Z.mat,82.10283419,210.6695687,0,0.374917647,0.229058824,0.296529412,0.770941176,0.328552941,1.250235294,1.672294118,3.038117647,3.824235294,0.85,0.85,82.10283419,66.26528087
Short_Fractals1&3_Harmer_fencogp003v2_2021-07-12T13-24-04-950Z.mat,84.95962461,107.2483253,0,0.16762,0.14934,0.11169,0.85066,0.72069,1.2471,1.65535,2.92225,3.4145,1,1,84.95962461,63.1761557
Short_Fractals1&3_Harmer_fencogp004v2_2021-07-16T11-53-29-052Z.mat,42.7464753,96.69363229,0,0.21085,0.03691,0.07184,0.96309,0.71731,0.72555,2.09235,1.74665,3.89455,1,1,42.7464753,55.93754409
Short_Fractals1&3_Harmer_fencogp005v1_2021-07-13T11-15-26-828Z.mat,35.44298681,48.96674756,0,0,0,0.00214,1,0.99786,0.72865,1.6354,1.9702,3.14625,1,1,35.44298681,48.96674756
Short_Fractals1&3_Harmer_fencogp005v2_2021-07-20T11-28-18-402Z.mat,63.87946201,54.03541215,0,0,0.02621,0.01798,0.97379,0.98202,0.74605,1.3465,2.1033,3.2064,1,1,63.87946201,54.03541215
Short_Fractals1&3_Harmer_fencogp006v2_2021-07-21T12-58-53-592Z.mat,49.55884822,193.0980438,0,0.31748,0.162094737,0.175,0.837905263,0.50752,1.126157895,3.0558,3.599684211,6.5202,0.95,1,49.55884822,52.40488747
Short_Fractals1&3_Harmer_fencogp007v1_2021-08-04T11-18-58-683Z.mat,54.03566788,29.72915759,0,0,0.05,0,0.95,1,0.9538,2.5614,4.1818,4.36295,1,1,54.03566788,29.72915759
Short_Fractals1&3_Harmer_fencogp007vw_2021-08-11T09-28-48-270Z.mat,15.62749613,107.3692231,0,0.1814,0.033673684,0.083042105,0.966326316,0.735557895,0.705894737,1.999473684,2.560789474,4.005631579,0.95,0.95,15.62749613,35.8835571
Short_Fractals1&3_Harmer_fencogp008v1_2021-08-06T12-04-24-786Z.mat,89.56195038,132.7075489,0,0.1641,0.153852632,0.0909,0.846147368,0.745,2.694842105,2.5005625,4.684684211,4.789875,0.95,0.8,89.56195038,76.28230448
Short_Fractals1&3_Harmer_fencogp009v2_2021-08-17T12-16-10-015Z.mat,61.68571562,76.86650296,0,0.05,0.0386,0.05018,0.9614,0.89982,0.93035,2.8487,1.76185,4.0525,1,1,61.68571562,68.35255343
Short_Fractals1&3_Harmer_fencogp011v2_2021-09-15T10-36-52-506Z.mat,56.31993957,143.7435126,0,0.234466667,0.181252632,0.229566667,0.818747368,0.535966667,1.438894737,2.205666667,2.661368421,3.376388889,0.95,0.9,56.31993957,61.45809381
Short_Fractals1&3_Harmer_fencogp012v1_2021-10-07T11-22-13-793Z.mat,28.38003178,121.7937957,0,0.17151,0.1018,0.12806,0.8982,0.70043,1.2053,1.9754,2.60915,3.4556,1,1,28.38003178,38.83935688
Short_Fractals1&3_Harmer_fencogp013v2_2021-10-21T12-16-39-180Z.mat,85.9964925,240.3568685,0,0.2608,0.23004,0.243905882,0.76996,0.495294118,0.9377,1.864176471,2.0278,2.820235294,1,0.85,85.9964925,90.529866
Short_Fractals1&3_Harmer_fencogp014v2_2021-10-26T11-57-07-906Z.mat,46.25611151,106.5200389,0,0.109670588,0.028115789,0.061988235,0.971884211,0.828341176,1.041578947,2.183,2.509789474,3.874411765,0.95,0.85,46.25611151,68.81961985
Short_Fractals1&3_Harmer_fencogp015v2_2021-10-29T09-03-38-147Z.mat,30.83433228,88.01195066,0,0.08194,0.017644444,0.04083,0.982355556,0.87723,0.803111111,1.45745,2.266888889,3.12435,0.9,1,30.83433228,48.0614333
Short_Fractals1&3_Harmer_fencogp016v1_2021-10-25T10-26-36-248Z.mat,33.42102837,152.5038439,0,0.19498,0.09512,0.17825,0.90488,0.62677,0.95225,2.09075,2.6948,4.1433,1,1,33.42102837,78.99529268
Short_Fractals1&3_Harmer_fencogp016v2_2021-11-01T13-03-13-985Z.mat,31.71076271,114.9648139,0,0.14326,0.0771,0.13388,0.9229,0.72286,1.1009,2.40125,2.5934,3.98525,1,1,31.71076271,59.83467339
Short_Fractals1&3_Harmer_fencogp017_2021-10-28T12-16-11-256Z.mat,20.1579977,37.16127527,0,0,0.02271,0.064315789,0.97729,0.935684211,1.2208,1.892210526,4.41785,4.271052632,1,0.95,20.1579977,37.16127527
Short_Fractals1&3_Harmer_fencogp017v2_2021-11-04T12-39-28-831Z.mat,14.72804895,20.6828875,0,0,0.0049,0.007115789,0.9951,0.992884211,1.6572,2.016842105,4.8301,4.511789474,1,0.95,14.72804895,20.6828875
Short_Fractals1&3_Harmer_fencogp018v2_2021-11-05T12-34-46-245Z.mat,23.43276064,36.59010794,0,0,0.038389474,0.042566667,0.961610526,0.957433333,0.932947368,1.849611111,2.014894737,3.253388889,0.95,0.9,23.43276064,36.59010794
Short_Fractals1&3_Harmer_fencogp019v1_2021-11-08T11-19-45-286Z.mat,53.4373749,109.2753619,0,0.1987875,0.1162,0.1328,0.8838,0.6684125,0.793,1.2723125,2.9667,4.1798125,1,0.8,53.4373749,60.02024459
Short_Fractals1&3_Harmer_fencogp020v1_2021-11-09T12-28-11-989Z.mat,40.49387429,108.0134206,0,0.197588889,0.089526316,0.1858,0.910473684,0.616611111,1.690789474,3.073277778,3.372789474,5.387333333,0.95,0.9,40.49387429,70.66895413
